,city_name,housing_units,housing_density,change_hunits,percent_of_rent_to_total,owned_homes,med_homeval,med_rental_rate,med_owner_cost,med_own_cost_aspercentof_income,med_hval_aspercentof_medearn,med_hcost_ownmortg,med_hcost_own_wo_mortg,hcost_aspercentof_hincome_ownmortg,hcost_as_perc_of_hincome_womortg,med_real_estate_taxes,family_members_per_hunit,median_num_ofrooms,median_year_house_built,household_size_of_howners,household_size_for_renters,med_year_moved_in_for_owners,med_year_renter_moved_in,studio_1000_1499,studio_1500_more,studio_750_999,onebed_1000_1499,onebed_1500_more,onebed_750_999,twobed_1000_1499,twobed_1500_more,twobed_750_999,threebed_1000_1499,threebed_1500_more,threebed_750_999
174,Imperial Beach,10111.0,2429.8,2.3,68.2,31.8,433400.0,1269.0,1580.0,23.0,1141.0,2169.0,408.0,28.0,11.0,3075.0,3.8,4.2,1970.0,2.9,3.1,2001.0,2012.0,0.188,0.0,0.771,0.445,0.039,0.412,0.68,0.22,0.054,0.171,0.715,0.016
175,Indian Wells,5440.0,379.8,5.9,14.1,85.9,667000.0,725.0,1932.0,22.0,603.0,3173.0,1247.0,28.0,15.0,6922.0,2.2,5.7,1986.0,1.9,1.5,2005.0,2007.0,0.0,0.0,0.0,0.077,0.0,0.192,0.196,0.375,0.429,0.092,0.4,0.062
176,Indio,35406.0,1066.3,22.2,33.0,67.0,247900.0,1072.0,1337.0,24.0,673.0,1709.0,575.0,30.0,14.0,3297.0,3.8,5.1,1998.0,2.9,3.1,2007.0,2012.0,0.024,0.0,0.17,0.122,0.012,0.396,0.4,0.113,0.285,0.279,0.496,0.066
177,Industry,77.0,6.5,5.5,82.3,17.7,410000.0,795.0,,22.0,820.0,2333.0,,25.0,10.0,3083.0,4.6,4.9,1958.0,3.2,4.1,1996.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.25,0.292,0.0,0.708
178,Inglewood city-CA,38187.0,4211.2,-0.6,64.2,35.8,389600.0,1186.0,1692.0,25.0,1057.0,1951.0,446.0,29.0,12.0,3082.0,3.9,4.3,1958.0,3.2,2.9,1998.0,2011.0,0.186,0.009,0.451,0.436,0.03,0.363,0.602,0.276,0.081,0.29,0.587,0.054
179,Ione,1674.0,364.3,2.4,25.4,74.6,243100.0,1067.0,1351.0,23.0,425.0,1698.0,496.0,24.0,16.0,2081.0,2.7,5.5,1993.0,2.3,2.5,2006.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.489,0.31,0.03,0.66,0.446,0.176,0.045
180,Irvine,98362.0,1499.8,17.2,51.8,48.2,753400.0,2114.0,2487.0,22.0,924.0,2993.0,746.0,25.0,10.0,6186.0,3.2,4.7,1993.0,2.8,2.6,2005.0,2013.0,0.161,0.642,0.029,0.068,0.848,0.041,0.095,0.83,0.021,0.075,0.839,0.017
181,Irwindale,417.0,47.2,6.9,30.0,70.0,351100.0,1458.0,1224.0,27.0,881.0,1524.0,300.0,31.0,11.0,1957.0,4.2,5.5,1970.0,3.7,3.3,1996.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.083,0.125,0.169,0.692,0.015
182,Isleton,398.0,905.3,-6.4,46.9,53.1,225800.0,893.0,733.0,26.0,619.0,1413.0,406.0,43.0,10.0,1430.0,3.4,4.7,1960.0,2.6,2.4,2002.0,2009.0,0.0,0.0,0.0,0.1,0.0,0.0,0.167,0.0,0.571,0.435,0.226,0.226
183,Jackson,2500.0,670.3,8.3,39.9,60.1,238100.0,996.0,893.0,22.0,584.0,1766.0,519.0,29.0,18.0,1631.0,3.0,5.1,1975.0,2.1,2.3,2002.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.362,0.256,0.0,0.619,0.392,0.413,0.087
184,Jurupa Valley,26549.0,618.3,,34.2,65.8,308900.0,1169.0,1507.0,23.0,800.0,1698.0,473.0,26.0,11.0,2099.0,4.6,5.4,1978.0,4.1,3.8,2002.0,2012.0,0.061,0.193,0.364,0.191,0.052,0.266,0.52,0.114,0.254,0.33,0.512,0.074
185,Kerman city-CA,3943.0,1206.8,0.9,46.4,53.6,203600.0,840.0,1387.0,24.0,597.0,1475.0,417.0,27.0,10.0,1759.0,4.4,5.0,1996.0,3.9,3.7,2005.0,,0.0,0.0,0.578,0.0,0.0,0.262,0.226,0.0,0.375,0.425,0.116,0.377
186,King City city-CA,3349.0,871.1,4.1,56.5,43.5,230800.0,1006.0,1189.0,25.0,837.0,1459.0,451.0,31.0,18.0,1641.0,4.6,4.5,1978.0,4.0,4.3,2001.0,2012.0,0.109,0.0,0.606,0.097,0.109,0.29,0.413,0.088,0.312,0.417,0.503,0.054
187,Kingsburg city-CA,4016.0,1132.2,-1.3,35.1,64.9,236000.0,861.0,1186.0,19.0,445.0,1557.0,494.0,22.0,12.0,1961.0,3.8,5.5,1983.0,3.2,2.6,2003.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.214,0.109,0.0,0.573,0.711,0.099,0.125
188,La Habra,19655.0,2672.7,-1.4,43.1,56.9,473200.0,1410.0,1717.0,22.0,1042.0,2201.0,484.0,27.0,10.0,2930.0,3.9,4.8,1967.0,3.2,3.3,2001.0,2012.0,0.087,0.259,0.481,0.633,0.158,0.154,0.518,0.396,0.032,0.152,0.769,0.014
189,La Habra Heights,1993.0,323.6,6.0,6.4,93.6,893200.0,2350.0,2444.0,24.0,1177.0,3567.0,758.0,30.0,11.0,7108.0,3.3,6.7,1969.0,2.9,3.0,1999.0,2006.0,0.0,0.0,,1.0,0.0,,0.0,0.0,,0.0,0.659,
190,La Mesa,25040.0,2758.1,-4.3,58.4,41.6,455800.0,1375.0,1690.0,23.0,902.0,2134.0,476.0,27.0,11.0,3066.0,3.3,4.6,1969.0,2.5,2.5,2001.0,2012.0,0.402,0.121,0.091,0.52,0.151,0.209,0.517,0.38,0.053,0.089,0.817,0.023
191,La Mirada,14706.0,1880.1,-2.6,22.2,77.8,478400.0,1622.0,1870.0,21.0,846.0,2242.0,452.0,24.0,10.0,3552.0,3.7,5.5,1960.0,3.3,2.9,1998.0,2011.0,0.229,0.412,0.09,0.387,0.221,0.263,0.274,0.506,0.1,0.078,0.76,0.013
192,La Palma,5039.0,2825.5,-3.5,31.9,68.1,612200.0,1653.0,1699.0,18.0,1017.0,2410.0,524.0,23.0,10.0,3907.0,3.7,6.1,1971.0,3.2,3.3,1995.0,2011.0,0.25,0.0,0.0,0.369,0.449,0.071,0.343,0.645,0.013,0.055,0.868,0.0
193,La Puente,9350.0,2687.7,-4.2,43.0,57.0,364300.0,1235.0,1469.0,23.0,1145.0,1742.0,404.0,28.0,10.0,2697.0,4.9,5.3,1958.0,4.6,4.3,1997.0,2011.0,0.162,0.0,0.533,0.507,0.0,0.373,0.615,0.175,0.094,0.221,0.523,0.113
194,La Quinta,24540.0,698.5,4.5,29.0,71.0,376100.0,1386.0,1658.0,23.0,706.0,2010.0,802.0,27.0,13.0,4424.0,3.2,5.4,1998.0,2.5,3.1,2006.0,2012.0,0.06,0.16,0.32,0.147,0.0,0.155,0.329,0.161,0.166,0.269,0.58,0.041
195,La Verne,11695.0,1387.2,0.1,25.8,74.2,535900.0,1415.0,1672.0,20.0,926.0,2339.0,554.0,25.0,10.0,3393.0,3.4,5.9,1975.0,2.8,2.7,2000.0,2011.0,0.065,0.346,0.0,0.272,0.244,0.089,0.528,0.391,0.046,0.141,0.652,0.103
196,Lafayette,10112.0,672.0,4.8,26.8,73.2,1214200.0,1940.0,3121.0,18.0,1012.0,3921.0,896.0,22.0,10.0,8255.0,3.1,6.7,1963.0,2.8,2.4,1997.0,2012.0,0.4,0.0,0.6,0.397,0.338,0.064,0.142,0.844,0.0,0.017,0.912,0.025
197,Laguna Beach,13180.0,1481.9,2.0,37.5,62.5,1570700.0,2191.0,2624.0,20.0,1561.0,3880.0,755.0,25.0,10.0,7298.0,2.9,5.2,1963.0,2.3,2.0,1999.0,2012.0,0.557,0.308,0.06,0.2,0.683,0.033,0.025,0.926,0.025,0.041,0.816,0.013
198,Laguna Hills,10934.0,1655.8,-1.0,29.3,70.7,649700.0,1906.0,2309.0,23.0,1111.0,2684.0,730.0,27.0,10.0,4382.0,3.5,5.9,1980.0,2.9,3.2,2002.0,2012.0,0.0,1.0,0.0,0.253,0.714,0.0,0.068,0.844,0.008,0.008,0.824,0.022
199,Laguna Niguel,26706.0,1811.7,5.5,29.5,70.5,737400.0,2004.0,2464.0,24.0,960.0,2859.0,743.0,27.0,11.0,4795.0,3.1,5.9,1985.0,2.5,2.8,2002.0,2013.0,0.0,0.507,0.15,0.281,0.662,0.04,0.051,0.898,0.017,0.046,0.848,0.012
200,Laguna Woods,12709.0,3799.5,-2.4,23.9,76.1,246600.0,1656.0,904.0,26.0,539.0,1643.0,834.0,34.0,23.0,1637.0,2.1,4.3,1968.0,1.4,1.4,2007.0,,0.0,0.618,0.382,0.347,0.479,0.069,0.235,0.588,0.035,0.0,0.743,0.047
201,Lake Elsinore,17802.0,464.2,9.5,37.3,62.7,306400.0,1342.0,1713.0,24.0,640.0,1917.0,565.0,27.0,10.0,4073.0,4.2,5.9,1999.0,3.8,3.7,2008.0,2012.0,0.281,0.0,0.188,0.299,0.034,0.421,0.547,0.144,0.212,0.218,0.684,0.034
202,Lake Forest,28984.0,1742.5,7.0,30.7,69.3,585100.0,1846.0,2162.0,22.0,908.0,2437.0,621.0,23.0,10.0,3894.0,3.5,5.6,1982.0,2.9,2.9,2002.0,2013.0,0.118,0.814,0.034,0.271,0.672,0.0,0.083,0.859,0.002,0.078,0.825,0.01
203,Lakeport,2558.0,836.5,6.8,45.2,54.8,194200.0,853.0,1093.0,20.0,392.0,1564.0,447.0,24.0,13.0,1549.0,2.9,4.7,1974.0,2.3,2.1,2003.0,2012.0,0.0,0.0,0.816,0.0,0.0,0.137,0.259,0.021,0.575,0.18,0.38,0.31
204,Lakewood,27208.0,2888.7,-1.0,28.6,71.4,475800.0,1662.0,1866.0,22.0,841.0,2200.0,415.0,26.0,10.0,3365.0,3.7,5.5,1957.0,3.1,3.2,1999.0,2012.0,0.46,0.443,0.08,0.528,0.123,0.257,0.357,0.578,0.013,0.068,0.836,0.026
205,Lancaster,53330.0,565.5,2.9,46.2,53.8,213100.0,1133.0,1348.0,23.0,495.0,1580.0,482.0,26.0,12.0,2602.0,3.9,6.2,1985.0,3.3,3.0,2005.0,2012.0,0.272,0.012,0.2,0.133,0.017,0.331,0.468,0.025,0.283,0.416,0.369,0.078
206,Larkspur,6175.0,2040.0,-3.2,51.7,48.3,1181400.0,1987.0,2646.0,22.0,1322.0,3929.0,929.0,26.0,14.0,8652.0,3.0,4.3,1967.0,2.4,1.8,2001.0,2011.0,0.545,0.129,0.0,0.139,0.756,0.0,0.105,0.876,0.0,0.0,0.917,0.038
207,Lathrop,5718.0,260.7,8.7,29.9,70.1,292900.0,1604.0,1667.0,25.0,618.0,1844.0,521.0,27.0,14.0,3130.0,4.2,6.2,1998.0,3.7,4.2,2007.0,,1.0,0.0,0.0,0.296,0.0,0.102,0.438,0.0,0.453,0.189,0.701,0.018
208,Lawndale,10347.0,5241.2,1.9,67.7,32.3,417600.0,1357.0,1818.0,25.0,1118.0,2061.0,456.0,29.0,14.0,3435.0,4.1,4.2,1962.0,3.5,3.3,2002.0,2011.0,0.145,0.036,0.555,0.486,0.054,0.372,0.543,0.352,0.054,0.283,0.669,0.021
209,Lemon Grove,8868.0,2286.4,,45.9,54.1,367700.0,1201.0,1688.0,23.0,885.0,1977.0,428.0,27.0,10.0,2699.0,3.9,5.2,1963.0,3.4,2.8,2002.0,2012.0,0.319,0.0,0.369,0.25,0.063,0.489,0.669,0.213,0.081,0.258,0.57,0.045
210,Lemoore city-CA,9020.0,1059.1,4.5,48.1,51.9,199200.0,897.0,1342.0,20.0,520.0,1523.0,401.0,24.0,10.0,1492.0,3.6,5.1,1985.0,3.3,2.7,2005.0,2013.0,0.041,0.0,0.154,0.0,0.053,0.527,0.183,0.008,0.495,0.442,0.258,0.231
211,Lincoln city-CA,18023.0,897.0,3.2,21.0,79.0,389900.0,1658.0,1629.0,23.0,653.0,2059.0,638.0,26.0,13.0,4263.0,3.2,6.0,2004.0,2.6,2.9,2007.0,2012.0,0.528,0.112,0.124,0.218,0.014,0.255,0.208,0.418,0.244,0.157,0.765,0.018
212,Lindsay city-CA,3838.0,1470.8,20.2,49.2,50.8,133400.0,705.0,797.0,24.0,509.0,1061.0,325.0,28.0,12.0,1012.0,4.2,5.0,1974.0,3.7,3.6,2002.0,,0.0,0.0,0.0,0.044,0.081,0.0,0.021,0.015,0.267,0.24,0.059,0.393
213,Live Oak,2532.0,811.3,1.4,35.4,64.6,152000.0,784.0,1054.0,22.0,475.0,1311.0,373.0,24.0,13.0,1413.0,4.1,5.6,1980.0,3.4,3.7,2003.0,2012.0,0.0,0.0,0.25,0.0,0.0,0.0,0.082,0.055,0.145,0.325,0.09,0.35
214,Livermore,32458.0,1208.1,7.0,28.8,71.2,643200.0,1768.0,2432.0,22.0,848.0,2784.0,581.0,24.0,10.0,5333.0,3.3,5.9,1977.0,2.8,2.7,2003.0,2011.0,0.305,0.265,0.161,0.347,0.401,0.057,0.208,0.653,0.039,0.117,0.753,0.049
215,Livingston,3567.0,970.0,7.4,41.4,58.6,187500.0,1006.0,1112.0,21.0,573.0,1340.0,371.0,23.0,13.0,1429.0,4.3,5.4,1993.0,3.9,4.0,2004.0,2011.0,0.0,0.0,0.2,0.206,0.0,0.258,0.089,0.0,0.463,0.612,0.072,0.204
216,Lodi city-CA,23760.0,1738.1,-0.1,46.1,53.9,269400.0,1053.0,1355.0,21.0,632.0,1667.0,438.0,24.0,12.0,1998.0,3.5,5.1,1974.0,2.8,2.9,2003.0,2012.0,0.066,0.246,0.119,0.079,0.069,0.324,0.474,0.033,0.39,0.375,0.466,0.072
217,Loma Linda,9300.0,1237.3,-3.6,64.4,35.6,333200.0,1186.0,1165.0,19.0,660.0,1910.0,569.0,24.0,12.0,3299.0,3.4,4.5,1979.0,3.0,2.5,2002.0,2012.0,0.291,0.629,0.04,0.47,0.038,0.295,0.493,0.159,0.274,0.307,0.536,0.056
218,Lomita,8532.0,4464.5,1.4,54.2,45.8,561500.0,1301.0,1882.0,21.0,1094.0,2352.0,515.0,26.0,10.0,4000.0,3.3,4.4,1964.0,2.7,2.4,2001.0,2010.0,0.285,0.255,0.065,0.659,0.054,0.135,0.518,0.328,0.089,0.114,0.656,0.018
219,Lompoc city-CA,14129.0,1218.7,-2.0,57.5,42.5,269100.0,1079.0,1306.0,21.0,730.0,1687.0,404.0,25.0,10.0,1893.0,3.8,4.8,1971.0,2.7,3.2,2001.0,2012.0,0.029,0.164,0.134,0.203,0.004,0.437,0.389,0.14,0.359,0.288,0.536,0.099
220,Long Beach,173741.0,3453.0,-1.3,60.0,40.0,476400.0,1198.0,1834.0,23.0,1033.0,2234.0,485.0,27.0,10.0,3318.0,3.8,4.2,1957.0,2.9,2.7,2001.0,2012.0,0.257,0.081,0.398,0.43,0.12,0.323,0.493,0.345,0.088,0.219,0.646,0.039
221,Los Alamitos,4240.0,1054.3,-2.6,56.4,43.6,741100.0,1682.0,1800.0,20.0,1229.0,2396.0,518.0,23.0,10.0,3614.0,3.4,5.2,1969.0,2.8,2.8,1993.0,2012.0,0.103,0.155,0.466,0.581,0.12,0.141,0.317,0.651,0.023,0.11,0.82,0.07
222,Los Altos,11045.0,1706.0,-1.4,17.0,83.0,2000001.0,2891.0,3524.0,20.0,1191.0,4001.0,1111.0,24.0,10.0,10001.0,3.2,7.0,1961.0,2.9,2.7,2001.0,,0.266,0.443,0.291,0.03,0.944,0.0,0.017,0.89,0.0,0.057,0.844,0.0
223,Los Angeles city-CA,1457762.0,3110.4,3.1,63.2,36.8,549800.0,1302.0,2085.0,25.0,1343.0,2531.0,659.0,29.0,13.0,3878.0,3.8,4.1,1961.0,3.1,2.7,2001.0,2011.0,0.262,0.165,0.295,0.43,0.231,0.195,0.35,0.485,0.076,0.184,0.638,0.058
224,Los Banos city-CA,11364.0,1137.2,-0.1,45.8,54.2,226700.0,1114.0,1289.0,24.0,546.0,1511.0,409.0,27.0,13.0,1892.0,4.1,5.5,1993.0,3.4,3.6,2006.0,2012.0,0.066,0.047,0.156,0.097,0.0,0.182,0.19,0.055,0.376,0.472,0.3,0.112
225,Loyalton,425.0,1195.5,14.6,18.1,81.9,98200.0,1040.0,728.0,23.0,278.0,1140.0,432.0,28.0,18.0,1003.0,3.4,5.3,1956.0,2.5,3.9,1994.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727,0.0,0.091,0.243,0.135,0.189
226,Lynwood,15705.0,3244.8,2.8,57.6,42.4,345100.0,1122.0,1691.0,28.0,1174.0,1830.0,483.0,31.0,10.0,3025.0,4.9,4.7,1955.0,4.8,4.2,2000.0,2011.0,0.162,0.02,0.413,0.28,0.008,0.559,0.631,0.133,0.172,0.29,0.561,0.064
227,Madera city-CA,18458.0,1169.0,8.3,54.0,46.0,180400.0,972.0,1078.0,20.0,520.0,1237.0,393.0,24.0,11.0,1450.0,4.2,5.1,1984.0,3.5,3.7,2005.0,2012.0,0.318,0.0,0.351,0.042,0.082,0.134,0.194,0.026,0.482,0.583,0.089,0.182
228,Malibu,7448.0,376.4,8.5,26.4,73.6,1974100.0,2522.0,2828.0,21.0,1718.0,4001.0,1158.0,24.0,11.0,10001.0,3.0,5.6,1974.0,2.5,1.8,2000.0,2011.0,0.0,0.533,0.0,0.067,0.867,0.0,0.013,0.857,0.0,0.056,0.71,0.009
229,Manhattan Beach,15237.0,3870.0,2.1,31.1,68.9,1694900.0,2393.0,3176.0,20.0,1433.0,4001.0,836.0,23.0,11.0,8660.0,3.2,6.0,1964.0,2.8,2.2,2000.0,2012.0,0.25,0.594,0.025,0.2,0.706,0.045,0.096,0.883,0.003,0.006,0.877,0.011
230,Manteca city-CA,24644.0,1199.4,6.5,40.8,59.2,319600.0,1278.0,1608.0,23.0,635.0,1849.0,492.0,25.0,12.0,2810.0,3.8,5.6,1989.0,3.1,3.2,2006.0,2012.0,0.353,0.0,0.319,0.215,0.062,0.364,0.483,0.103,0.306,0.297,0.604,0.054
231,Maricopa,469.0,312.3,0.6,48.9,51.1,56100.0,762.0,358.0,12.0,122.0,916.0,257.0,19.0,10.0,870.0,3.7,5.0,1970.0,2.2,3.5,1995.0,2008.0,0.0,0.0,0.7,0.0,0.0,0.0,0.087,0.087,0.217,0.195,0.0,0.345
232,Marina,8190.0,922.0,13.8,57.3,42.7,431800.0,1271.0,1506.0,20.0,877.0,2100.0,466.0,25.0,11.0,2764.0,3.4,4.7,1975.0,2.6,2.7,2000.0,2012.0,0.512,0.135,0.184,0.479,0.087,0.327,0.516,0.214,0.146,0.028,0.797,0.077
233,Martinez,15364.0,1216.4,2.6,33.8,66.2,505400.0,1626.0,2059.0,21.0,713.0,2377.0,540.0,23.0,10.0,3800.0,3.2,5.6,1975.0,2.5,2.5,2000.0,2012.0,0.205,0.205,0.215,0.419,0.258,0.181,0.29,0.567,0.053,0.074,0.87,0.0
234,Marysville city-CA,4781.0,1380.3,-8.0,64.3,35.7,161600.0,876.0,1178.0,21.0,422.0,1406.0,392.0,23.0,11.0,1315.0,3.4,4.6,1964.0,2.9,2.5,2001.0,2013.0,0.0,0.146,0.707,0.101,0.0,0.08,0.214,0.08,0.546,0.615,0.073,0.087
235,Maywood,6823.0,5789.9,0.8,76.4,23.6,350800.0,1000.0,1501.0,23.0,1371.0,1784.0,365.0,29.0,10.0,3045.0,4.7,3.8,1952.0,4.7,4.0,1997.0,2010.0,0.123,0.072,0.253,0.217,0.007,0.592,0.661,0.113,0.19,0.365,0.493,0.08
236,McFarland,3086.0,1156.6,15.0,42.1,57.9,149200.0,876.0,947.0,23.0,537.0,1075.0,281.0,30.0,10.0,1300.0,4.5,5.0,1987.0,4.1,4.5,2001.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186,0.0,0.532,0.461,0.019,0.358
237,Mendota city-CA,2784.0,844.7,8.9,64.5,35.5,139000.0,760.0,905.0,24.0,534.0,1060.0,268.0,32.0,10.0,969.0,4.7,4.8,1985.0,4.3,4.1,2001.0,2011.0,0.0,0.0,0.202,0.0,0.0,0.069,0.093,0.0,0.239,0.456,0.028,0.333
238,Menifee,30383.0,653.8,0.4,25.7,74.3,278300.0,1423.0,1460.0,24.0,538.0,1778.0,431.0,26.0,14.0,2855.0,3.7,5.9,1996.0,3.1,2.9,2008.0,2012.0,0.279,0.63,0.0,0.274,0.175,0.3,0.436,0.217,0.214,0.199,0.674,0.053
239,Menlo Park,12760.0,1305.3,-2.5,41.7,58.3,1764600.0,2111.0,3145.0,21.0,1622.0,4001.0,1028.0,25.0,10.0,10001.0,3.4,5.2,1959.0,2.9,2.5,2001.0,2012.0,0.284,0.428,0.0,0.131,0.692,0.096,0.089,0.856,0.011,0.066,0.769,0.009
240,Merced city-CA,27080.0,1165.9,-1.3,60.3,39.7,185700.0,908.0,1101.0,19.0,481.0,1350.0,428.0,22.0,11.0,1570.0,3.9,5.3,1982.0,3.0,3.3,2004.0,2012.0,0.049,0.089,0.111,0.058,0.008,0.202,0.144,0.021,0.46,0.45,0.198,0.175
241,Mill Valley,6452.0,1354.6,-1.3,27.7,72.3,1242100.0,2209.0,3232.0,19.0,942.0,4001.0,956.0,22.0,11.0,10001.0,3.0,5.7,1961.0,2.4,2.1,2000.0,2011.0,0.196,0.371,0.0,0.114,0.745,0.0,0.166,0.742,0.034,0.086,0.754,0.0
242,Millbrae,8771.0,2699.1,4.8,36.1,63.9,1131500.0,2101.0,2515.0,22.0,1476.0,3487.0,696.0,27.0,12.0,6395.0,3.3,5.4,1960.0,2.8,2.6,1999.0,2012.0,0.324,0.635,0.0,0.415,0.536,0.014,0.094,0.873,0.026,0.034,0.772,0.038
243,Milpitas,22778.0,1677.2,15.0,35.6,64.4,704300.0,2099.0,2372.0,21.0,1055.0,2860.0,652.0,24.0,10.0,5478.0,3.8,5.1,1982.0,3.4,3.4,2003.0,2012.0,0.171,0.713,0.0,0.143,0.622,0.066,0.152,0.78,0.023,0.051,0.832,0.047
244,Mission Viejo,34994.0,1977.3,2.2,22.5,77.5,640800.0,2123.0,2231.0,22.0,874.0,2596.0,525.0,25.0,10.0,3967.0,3.3,6.1,1980.0,2.8,2.8,2001.0,2012.0,0.361,0.616,0.0,0.263,0.68,0.033,0.105,0.85,0.005,0.022,0.919,0.003
245,Modesto city-CA,75155.0,1680.5,0.1,45.4,54.6,236200.0,1070.0,1280.0,20.0,508.0,1544.0,471.0,24.0,11.0,1755.0,3.6,5.3,1977.0,2.9,2.9,2004.0,2012.0,0.1,0.105,0.157,0.168,0.036,0.414,0.421,0.049,0.385,0.531,0.3,0.074
246,Monrovia,13727.0,1009.1,-5.2,53.8,46.2,606000.0,1374.0,1977.0,23.0,1193.0,2473.0,589.0,26.0,10.0,4591.0,3.5,5.1,1961.0,2.8,2.9,2001.0,2012.0,0.367,0.247,0.265,0.567,0.085,0.221,0.521,0.42,0.023,0.166,0.732,0.007
247,Montague,594.0,334.1,-6.2,42.7,57.3,119300.0,797.0,954.0,20.0,300.0,1080.0,333.0,22.0,16.0,907.0,3.3,4.4,1974.0,2.4,3.0,2000.0,2011.0,0.0,,0.0,0.0,,0.217,0.178,,0.545,0.377,,0.159
248,Montclair,10941.0,1983.1,10.4,44.6,55.4,304200.0,1234.0,1312.0,21.0,902.0,1643.0,379.0,27.0,10.0,1978.0,4.3,5.2,1970.0,3.8,3.6,2002.0,2012.0,0.371,0.232,0.066,0.272,0.13,0.325,0.636,0.159,0.109,0.287,0.556,0.059
249,Monte Sereno,1389.0,849.6,7.9,8.8,91.2,2000001.0,2216.0,3414.0,20.0,979.0,4001.0,1066.0,27.0,11.0,10001.0,3.0,7.8,1966.0,2.7,2.0,1994.0,2011.0,0.0,0.0,,0.392,0.608,,0.0,1.0,,0.098,0.608,
250,Montebello,21258.0,2551.2,7.5,55.7,44.3,441500.0,1211.0,1420.0,23.0,1303.0,1972.0,451.0,28.0,12.0,3679.0,3.9,4.5,1961.0,3.2,3.2,1995.0,2011.0,0.272,0.0,0.179,0.48,0.024,0.308,0.6,0.234,0.082,0.301,0.563,0.036
251,Monterey,13371.0,1541.5,-1.6,63.2,36.8,696200.0,1625.0,1885.0,22.0,1141.0,2663.0,626.0,28.0,11.0,4258.0,3.0,4.4,1969.0,2.2,2.2,2002.0,2012.0,0.34,0.48,0.098,0.568,0.229,0.137,0.258,0.693,0.03,0.098,0.846,0.008
252,Monterey Park,21336.0,2781.9,2.3,46.3,53.7,566700.0,1275.0,1484.0,20.0,1388.0,2311.0,477.0,31.0,10.0,3996.0,3.6,4.6,1962.0,3.1,3.1,1996.0,2011.0,0.226,0.077,0.405,0.404,0.033,0.289,0.629,0.192,0.084,0.124,0.672,0.022
253,Moorpark city-CA,11603.0,922.4,8.1,25.1,74.9,592500.0,1832.0,2323.0,23.0,933.0,2662.0,660.0,25.0,10.0,4438.0,3.6,6.3,1986.0,3.2,3.2,2003.0,2012.0,0.0,0.389,0.333,0.332,0.406,0.053,0.257,0.655,0.011,0.057,0.841,0.021
254,Moreno Valley,54005.0,1053.2,-2.8,39.5,60.5,260600.0,1342.0,1439.0,23.0,668.0,1584.0,432.0,26.0,10.0,2361.0,4.5,5.7,1987.0,4.0,4.0,2004.0,2012.0,0.302,0.098,0.198,0.454,0.024,0.318,0.63,0.109,0.173,0.287,0.589,0.062
255,Morgan Hill,14516.0,1138.6,12.9,27.8,72.2,729900.0,1699.0,2597.0,23.0,931.0,3098.0,768.0,26.0,10.0,5794.0,3.4,6.2,1986.0,3.0,3.1,2005.0,2012.0,0.722,0.06,0.152,0.301,0.268,0.305,0.34,0.526,0.074,0.139,0.734,0.027
256,Morro Bay,6206.0,1170.3,-1.8,42.8,57.2,535300.0,1387.0,1038.0,20.0,1078.0,2097.0,488.0,29.0,10.0,3151.0,2.9,4.6,1975.0,2.2,2.0,2003.0,2012.0,0.218,0.034,0.687,0.309,0.109,0.239,0.53,0.401,0.01,0.066,0.834,0.025
257,Mount Shasta,2034.0,540.1,7.3,52.6,47.4,243500.0,930.0,1153.0,28.0,699.0,1309.0,346.0,32.0,10.0,2029.0,2.7,4.8,1974.0,2.2,1.6,2002.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.641,0.602,0.296,0.066
258,Mountain View,35256.0,2939.6,4.1,58.0,42.0,1079900.0,2103.0,2588.0,20.0,1047.0,3404.0,819.0,23.0,12.0,6998.0,3.1,4.2,1972.0,2.5,2.3,2003.0,2012.0,0.251,0.641,0.009,0.203,0.696,0.021,0.052,0.884,0.01,0.028,0.89,0.025
259,Murrieta city-CA,33832.0,1007.5,-4.1,33.5,66.5,367400.0,1620.0,1992.0,24.0,624.0,2213.0,606.0,26.0,12.0,4069.0,3.9,6.7,2000.0,3.4,3.2,2007.0,2013.0,0.512,0.35,0.138,0.576,0.059,0.163,0.54,0.311,0.081,0.091,0.837,0.02
260,Napa city-CA,30296.0,1696.8,0.5,43.3,56.7,536800.0,1546.0,1820.0,22.0,1043.0,2301.0,584.0,24.0,11.0,3818.0,3.5,5.3,1974.0,2.6,3.0,2002.0,2012.0,0.288,0.135,0.238,0.361,0.238,0.168,0.407,0.501,0.028,0.095,0.775,0.056
261,National City,17349.0,2383.4,3.5,67.9,32.1,345400.0,1086.0,1430.0,21.0,1084.0,1768.0,337.0,27.0,10.0,2216.0,4.2,4.1,1970.0,3.8,3.3,1999.0,2011.0,0.155,0.017,0.469,0.254,0.081,0.41,0.567,0.152,0.143,0.219,0.562,0.112
